"almôndega, carne, boi, crua, c/ sal, sadia",168,"13,5","7,43","2,59","0,30","11,7",na,na,607,"22,3",,,
"almôndega, carne, boi, industrializada, crua, c/ sal",178,"12,9","9,32","3,90","0,36","10,7",na,na,621,"33,6",,,
"almôndega, carne, boi, industrializada, frita, c/ sal",272,"18,2","15,8","4,20","0,22","14,3",na,na,1030,"36,4",,,
"almôndega, carne, frango, crua, c/ sal, sadia",202,"12,8","13,6","3,86","0,11","7,09",na,na,780,144,,,
"amaranto, grão, cozido, s/ óleo, s/ sal, amaranthus cruentus l.",100,"3,80","1,59","0,34",na,"18,7","2,10","0,00","6,00","0,00",,,
"amaranto, grão, cru, amaranthus cruentus l.",365,"13,6","7,02","1,46",na,"65,3","6,70","0,00","4,00","0,00",,,
"ameixa de queijo , (farinha de trigo, queijo minas, ovo, água, c/ açúcar)",359,"14,0","13,5","7,17","0,40","45,6","0,48","30,0","49,2",110,,,
"ameixa, c/ casca, in natura, prunus domestica",54,"0,77",tr,tr,"0,00","13,8","2,43","0,00",tr,"0,00",,,
"ameixa, em calda, enlatada, drenada",188,"0,41",tr,na,"0,00","46,9","0,52",na,"2,70","0,00",,,
"ameixa, seca, prunus domestica",253,"2,18","0,38","0,09","0,00","63,9","7,10","0,00","2,00","0,00",,,
"amêndoa, crua, s/ sal, prunua amygdalus l.",632,"21,1","49,9","3,80",na,"21,5","12,5","0,00","1,00","0,00",,,
"amêndoa, torrada, c/ sal, arábic amygdalu var. dulcis",616,"20,6","52,0","4,55","0,13","21,8","11,1","0,00",277,"0,00",,,
"amêndoa, torrada, caramelizada",560,"15,5","39,0","3,96","0,10","40,9","8,30","25,0","5,36","0,00",,,
"amendoim, caramelizado",568,"20,7","38,9","7,31","0,00","37,2","6,75","25,0","3,11","0,00",,,
"amendoim, grão, cru, arachis hypogaea l.",589,"25,4","46,3","8,70",na,"20,7","6,22","0,00",tr,na,,,
"amendoim, japonês, caseiro, (amenoim, farinha de trigo, água, açúcar, molho shoyu, fermento químico, manteiga, c/ sal)",455,"16,6","23,2","4,64","0,07","47,2","5,11","0,45",562,"2,19",,,
"amendoim, ovinhos, assado, caseiro, (amenoim, polvilho doce, banha suína, fermento químico, c/ sal)",476,"7,62","27,3","7,87","0,00","51,2","2,54","0,46",310,"12,7",,,
"amendoim, ovinhos, frito, caseiro, (amenoim, polvilho doce, banha suína, fermento químico, óleo de soja (p/ fritura), c/ sal)",526,"6,71","35,9","8,80","0,06","45,1","2,24","0,47",302,"11,2",,,
"amendoim, torrado, c/ sal, arachis hypogaea l.",626,"27,5","51,8","9,74",na,"16,9","8,99","0,00",375,na,,,
"amora preta, in natura, rubus ssp.",36,"1,39","0,49","0,01","0,00","6,74","0,49","0,00","0,75","0,00",,,
"angu à baiana, polenta, c/ molho bolonhesa, c/ sal, (polenta, c/ molho bolonhesa (carne bovina - patinho moído, tomate, cebola, alho, c/ óleo de soja), c/ sal)",99,"3,36","1,27","0,34","0,01","19,8","2,41","0,00",435,"3,62",,,
"angu a baiana, polenta, c/ molho de carne bovina, c/ sal, polenta, c/ molho de carne bovina (acém, coração, língua, rabada, bucho), c/ molho de tomate (tomate, c/ óleo, cebola e alho), pimentão, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal",146,"8,11","6,90","1,94","0,05","13,7","1,52","0,00",469,"34,8",,,
"anis estrelado, semente, illicium verum",384,"17,6","15,9","0,59","0,00","50,0","14,6","0,00","16,0","0,00",,,
"apresuntado, cozido (média de diferentes marcas)",126,"14,5","5,71","1,93",na,"4,05",na,na,1282,"37,7",,,
"apresuntado, fatiado, cozido, sadia",108,"13,5","4,53","1,31",na,"3,32",na,na,879,"25,5",,,
"apresuntado, metro, cozido, seara",129,"16,0","5,00","1,44",na,"5,00",na,na,1033,"28,2",,,
"apresuntado, retangular, cozido, seara",139,"15,0","6,60","1,91",na,"5,00",na,na,1040,"37,2",,,
"araça, polpa, com casca, sem semente, in natura, psidium cattleianum",47,"1,00","0,20",na,na,"12,5","4,50","0,00",na,"0,00",,,
"arroz à grega, c/ arroz integral, c/ sal, (arroz integral, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, c/ sal)",118,"2,20","2,63","0,48","0,01","22,6","2,27","0,00","1,71","0,00",,,
