"Alimento para bebes, 9 de 12 meses, jantar, vegetais e cordeiro",51,2.1,1.7,7.1,1.1,5
"Alimento para bebes, de 6 a 8 meses, jantar, sopa de galinha, macarrao talharim",66,2.69,2.06,9.08,2.1,16
"Alimento para bebes, de 9 a 12 meses, jantar, macarrao instantaneo sabor galinha",55,2.37,1.18,8.79,0.9,9
"Alimento para bebes, de 6 a 8 meses, jantar, sopa de galinha",50,1.6,1.7,7.2,1.1,4
"Alimento para bebes, de 1 a 2 anos, jantar, galinha ensopada",78,5.2,3.7,6.4,0.6,29
"Alimento para bebes, de 6 a 8 meses, jantar, vegetais e frango",59,2.47,1.73,8.42,2.1,11
"Alimento para bebes, de 6 a 8 meses, jantar, vegetais, macarrao com frango",63,2,2.5,7.9,1.1
"Alimento para bebes, de 9 a 12 meses, jantar, vegetais, macarrao talharim com galinha",64,1.7,2.2,9.1,1.1
"Alimento para bebes, jantar, macarrao com vegetais",60,1.7,2.1,8.4,1.5,5
"Alimento para bebes, de 6 a 8 meses, jantar, vegetais, macarrao talharim e peru",44,1.2,1.2,6.8,1.1
"Alimento para bebes, de 9 a 12 meses, vegetais, macarrao talharim com peru",52,1.8,1.5,7.6,1.1
